user_id,movie_id,rating,timestamp,user_enc,movie_enc,user_bias,movie_bias,global_mean,baseline_pred
196,242,3,881250949,0,0,-0.03393713973435971,0.5443403768450954,3.5318875,4.0422907371107355
186,302,3,891717742,1,1,-0.04634063562161944,0.7256788699732337,3.5318875,4.211225734351614
22,377,1,878887116,2,2,-0.12400848931324333,-0.5022365746955989,3.5318875,2.9056424359911577
244,51,2,880606923,3,3,0.12238559571145015,0.06984234979544619,3.5318875,3.7241154455068965
166,346,1,886397596,4,4,0.14621221658064776,0.18433086418481157,3.5318875,3.862430580765459
298,474,4,884182806,5,5,0.19237799992786053,0.7924525500088264,3.5318875,4.516718049936687
115,265,2,881171488,6,6,0.11583942481139274,0.4294427027463356,3.5318875,4.077169627557728
253,465,5,891628467,7,7,0.09598169387449493,0.06925566885706837,3.5318875,3.697124862731563
305,451,3,886324817,8,8,-0.44564054961027644,-0.12818917435405444,3.5318875,2.9580577760356688
6,86,3,883603013,9,9,-0.278434447134257,0.47530473753615393,3.5318875,3.7287577904018967
62,257,2,879372434,10,10,-0.3857488769884225,0.3070569546328414,3.5318875,3.453195577644419
286,1014,5,879781125,11,11,0.17033725027667884,-0.2755278302662207,3.5318875,3.4266969200104582
200,222,5,876042340,12,12,0.5221378818771057,0.1636268496948758,3.5318875,4.217652231571981
210,40,3,891035994,13,13,0.30187114692371514,-0.2973072857380791,3.5318875,3.536451361185636
224,29,3,888104457,14,14,-0.5221637687376266,-0.6380284570821088,3.5318875,2.3716952741802646
303,785,3,879485318,15,15,-0.13135837184919685,-0.0870138376165756,3.5318875,3.3135152905342276
122,387,5,879270459,16,16,0.18451839064447384,-0.03314207130819468,3.5318875,3.683263819336279
194,274,2,879539794,17,17,-0.6973396561234013,-0.014874559452758439,3.5318875,2.81967328442384
291,1042,4,874834944,18,18,0.24984543144388746,-0.19432947153457542,3.5318875,3.5874034599093116
234,1184,2,892079237,19,19,-0.6239583653624939,-0.4164753777850125,3.5318875,2.4914537568524935
119,392,4,886176814,20,20,0.3101825365575965,0.13136651983892172,3.5318875,3.9734365563965177
167,486,4,892738452,21,21,-0.15536843175036308,0.3328857938042823,3.5318875,3.709404862053919
299,144,4,877881320,22,22,-0.2871892547071956,0.3908083857542512,3.5318875,3.6355066310470554
291,118,2,874833878,18,23,0.24984543144388746,-0.2449537475656724,3.5318875,3.536779183878215
308,1,4,887736532,23,24,0.007985351764477237,0.3967405469885182,3.5318875,3.9366133987529954
95,546,2,879196566,24,25,-0.18549100171099886,-0.35897956162817773,3.5318875,2.987416936660823
38,95,5,892430094,25,26,0.36240855308354203,0.383674378629672,3.5318875,4.2779704317132135
102,768,2,883748450,26,27,-0.8597915262341952,-0.3442854773267487,3.5318875,2.327810496439056
63,277,4,875747401,27,28,-0.41620814820239505,0.047657755813863084,3.5318875,3.163337107611468
160,234,5,876861185,28,29,0.12432050180547052,0.34386270173235756,3.5318875,4.000070703537828
50,246,3,877052329,29,30,-0.038589165668449874,0.4754710707089028,3.5318875,3.9687694050404527
301,98,4,882075827,30,31,-0.09806097926793067,0.8568756821540593,3.5318875,4.290702202886129
225,193,4,879539727,31,32,0.3835581985725985,0.4894570480854823,3.5318875,4.404902746658081
290,88,4,880731963,32,33,-0.28198280344735493,0.05589194872396628,3.5318875,3.305796645276611
97,194,3,884238860,33,34,0.21883516522508026,0.646248140438263,3.5318875,4.396970805663343
157,274,4,886890835,34,17,0.21395562844528246,-0.014874559452758439,3.5318875,3.7309685689925236
181,1081,1,878962623,35,35,-1.8211097523776183,0.039698890556611986,3.5318875,1.7504766381789936
278,603,5,891295330,36,36,0.1730120172344554,0.8962105711347484,3.5318875,4.601110088369204
276,796,1,874791932,37,37,-0.02580849793474075,-0.28999016555400015,3.5318875,3.216088836511259
7,32,4,891350932,38,38,0.309369646691398,0.39180549785689883,3.5318875,4.233062644548297
10,16,4,877888877,39,39,0.2788556405946327,-0.1370074702633063,3.5318875,3.673735670331326
284,304,4,885329322,40,40,-0.05459871353148874,0.1059603718477791,3.5318875,3.58324915831629
201,979,2,884114233,41,41,-0.5950886182145313,0.015183210735540766,3.5318875,2.9519820925210096
276,564,3,874791805,37,42,-0.02580849793474075,-1.0416766033390685,3.5318875,2.4644023987261905
287,327,5,875333916,42,43,0.3597898610564314,-0.018499728811024723,3.5318875,3.873177632245407
246,201,5,884921594,43,44,-0.5628856507551776,0.05704771785592628,3.5318875,3.0260495671007486
242,1137,5,879741196,44,45,0.4920586373661989,0.48803228135537385,3.5318875,4.511978418721573
249,241,5,879641194,45,46,0.2958393328414579,0.15301014048925418,3.5318875,3.980736973330712
99,4,5,886519097,46,47,0.04823712514038259,0.13993978563546255,3.5318875,3.720064410775845
178,332,3,882823437,47,48,0.045251253034984305,0.016960103110307587,3.5318875,3.594098856145292
251,100,4,886271884,48,49,0.060983161476688454,0.7217905094906669,3.5318875,4.314661170967355
81,432,2,876535131,49,50,-0.2291429917555561,0.29438187365845914,3.5318875,3.5971263819029025
260,322,4,890618898,50,51,0.39921644467292394,-0.35615172798737776,3.5318875,3.574952216685546
25,181,5,885853415,51,52,0.0936631936160777,0.5527423070306685,3.5318875,4.178293000646746
59,196,5,888205088,52,53,0.22482431193196076,0.45394664682701263,3.5318875,4.2106584587589735
72,679,2,880037164,53,54,-0.07204276657001436,-0.3046061239327186,3.5318875,3.155238609497267
87,384,4,879877127,54,55,0.2531618748348539,-0.4995903425091227,3.5318875,3.285459032325731
290,143,5,880474293,32,56,-0.28198280344735493,0.2562192937571917,3.5318875,3.5061239903098365
42,423,5,881107687,55,57,0.05241204211444325,0.3922633780786724,3.5318875,3.976562920193116
292,515,4,881103977,56,58,0.3478255203590064,0.7851602693910457,3.5318875,4.6648732897500516
115,20,3,881171009,6,59,0.11583942481139274,-0.08505662621739102,3.5318875,3.5626702985940013
20,288,1,879667584,57,60,-0.49066346342686484,-0.0436079520520309,3.5318875,2.997616084521104
201,219,4,884112673,41,61,-0.5950886182145313,-0.050331154747146764,3.5318875,2.886467727038322
13,526,3,882141053,58,62,-0.4375627294007992,0.46266512969120854,3.5318875,3.556989900290409
246,919,4,884920949,43,63,-0.5628856507551776,0.29063610037673626,3.5318875,3.259637949621559
138,26,5,879024232,59,64,0.20885132338024376,0.015201338260884463,3.5318875,3.755940161641128
167,232,1,892738341,21,65,-0.15536843175036308,-0.06269481110399679,3.5318875,3.3138242571456398
60,427,5,883326620,60,66,0.2300410327222356,0.8454755157464247,3.5318875,4.60740404846866
57,304,5,883698581,61,40,0.06837020564718431,0.1059603718477791,3.5318875,3.7062180774949636
223,274,4,891550094,62,17,-0.31142482447994435,-0.014874559452758439,3.5318875,3.2055881160672968
189,512,4,893277702,63,67,0.16496627571801023,0.5671791830505656,3.5318875,4.264032958768576
243,15,3,879987440,64,68,-0.10376343659811749,0.2694018557742689,3.5318875,3.6975259191761514
92,1049,1,890251826,65,69,-0.22571413419558878,-0.6601275513703793,3.5318875,2.6460458144340318
246,416,3,884923047,43,70,-0.5628856507551776,0.017449993124241493,3.5318875,2.986451842369064
194,165,4,879546723,17,71,-0.6973396561234013,0.5875011797207494,3.5318875,3.422049023597348
241,690,2,887249482,66,72,-0.20175265569229758,-0.001085754291418832,3.5318875,3.3290490900162832
178,248,4,882823954,47,73,0.045251253034984305,0.21478434966240298,3.5318875,3.791923102697387
254,1444,3,886475558,67,74,-0.43954959057569215,-0.548395163242272,3.5318875,2.5439427461820356
293,5,3,888906576,68,75,-0.5847054896919739,-0.15108357826477245,3.5318875,2.796098432043254
127,229,5,884364867,69,76,0.28406367368994057,-0.31905108475501553,3.5318875,3.496900088934925
225,237,5,879539643,31,77,0.3835581985725985,0.18957044462184355,3.5318875,4.105016143194442
299,229,3,878192429,22,76,-0.2871892547071956,-0.31905108475501553,3.5318875,2.925647160537789
225,480,5,879540748,31,78,0.3835581985725985,0.820128952767911,3.5318875,4.735574651340509
276,54,3,874791025,37,79,-0.02580849793474075,-0.13430363531846176,3.5318875,3.3717753667467973
291,144,5,874835091,18,22,0.24984543144388746,0.3908083857542512,3.5318875,4.172541317198139
222,366,4,878183381,70,80,-0.40898012833115965,-0.01906199669771565,3.5318875,3.1038453749711246
267,518,5,878971773,71,81,0.3307960732375392,0.33114377738952305,3.5318875,4.193827350627062
42,403,3,881108684,55,82,0.05241204211444325,-0.006046725221498406,3.5318875,3.578252816892945
11,111,4,891903862,72,83,-0.1887510272310622,0.055924291170010985,3.5318875,3.3990607639389485
95,625,4,888954412,24,84,-0.18549100171099886,-0.04632873678551527,3.5318875,3.300067761503486
8,338,4,879361873,73,85,0.18743196283840327,-0.6910792154584988,3.5318875,3.0282402473799044
162,25,4,877635573,74,86,0.03973906293370903,0.002713083864777064,3.5318875,3.5743396467984856
87,1016,4,879876194,54,87,0.2531618748348539,0.01429890124356274,3.5318875,3.7993482760784163
279,154,5,875296291,75,88,-0.19079196477847238,0.33784163251968335,3.5318875,3.678937167741211
145,275,2,885557505,76,89,-0.10205533592309672,0.5014467349432934,3.5318875,3.9312788990201963
119,1153,5,874781198,20,90,0.3101825365575965,0.1874445133210667,3.5318875,4.029514549878662
62,498,4,879373848,10,91,-0.3857488769884225,0.7169531024830457,3.5318875,3.8630917254946233
62,382,3,879375537,10,92,-0.3857488769884225,0.17503266906527812,3.5318875,3.3211712920768557
28,209,4,881961214,77,93,-0.007758413292295052,0.5021312379412297,3.5318875,4.026260324648934
135,23,4,879857765,78,94,-0.21847463460245503,0.6709361791030354,3.5318875,3.98434904450058
32,294,3,883709863,79,95,-0.2573957087284135,-0.26638071925376655,3.5318875,3.0081110720178197
90,382,5,891383835,80,92,0.3674615720570132,0.17503266906527812,3.5318875,4.074381741122291
286,208,4,877531942,11,96,0.17033725027667884,0.48936608623180156,3.5318875,4.19159083650848
293,685,3,888905170,68,97,-0.5847054896919739,-0.07960923977802363,3.5318875,2.8675727705300025
216,144,4,880234639,81,22,0.05213345785201201,0.3908083857542512,3.5318875,3.9748293436062627
166,328,5,886397722,4,98,0.14621221658064776,0.028396433031296124,3.5318875,3.7064961496119437
250,496,4,878090499,82,99,0.1832016942828685,0.6572960122399788,3.5318875,4.372385206522847
271,132,5,885848672,83,100,-0.2072013309058042,0.6110594748134166,3.5318875,3.9357456439076124
160,174,5,876860807,28,101,0.12432050180547052,0.8018188730868785,3.5318875,4.458026874892349
265,118,4,875320714,84,23,-0.019765377192768396,-0.2449537475656724,3.5318875,3.267168375241559
198,498,3,884207492,85,91,-0.43420637585247807,0.7169531024830457,3.5318875,3.8146342266305675
42,96,5,881107178,55,102,0.05241204211444325,0.5579773976751236,3.5318875,4.142276939789567
168,151,5,884288058,86,103,-0.09614515443800012,0.15879302699072445,3.5318875,3.5945353725527243
110,307,4,886987260,87,104,-0.34740303976713993,0.07520040750245896,3.5318875,3.259684867735319
58,144,4,884304936,88,22,-0.040695968243612726,0.3908083857542512,3.5318875,3.881999917510638
90,648,4,891384754,80,105,0.3674615720570132,0.5894126209906209,3.5318875,4.488761693047634
271,346,4,885844430,83,4,-0.2072013309058042,0.18433086418481157,3.5318875,3.509017033279007
62,21,3,879373460,10,106,-0.3857488769884225,-0.5179922344172954,3.5318875,2.628146388594282
279,832,3,881375854,75,107,-0.19079196477847238,-0.6599608488749155,3.5318875,2.681134686346612
237,514,4,879376641,89,108,0.035615810055826105,0.4337703437369124,3.5318875,4.0012736537927385
